,airline_sentiment,negativereason,airline,text
32,0,Customer Service Issue,Virgin America, help left expensive headphones on flight  IAD to LAX today Seat A No one answering LampF number at LAX
33,0,Customer Service Issue,Virgin America, awaiting my return phone call just would prefer to use your online selfservice option 
34,2,,Virgin America, this is great news  America could start flights to Hawaii by end of year  via 
35,1,,Virgin America,Nice RT  Vibe with the moodlight from takeoff to touchdown MoodlitMonday ScienceBehindTheExperience 
36,2,,Virgin America, Moodlighting is the only way to fly Best experience EVER Cool and calming  MoodlitMonday
37,2,,Virgin America,  Done and done Best airline around hands down
38,1,,Virgin America, when can I book my flight to Hawaii
39,0,Customer Service Issue,Virgin America, Your chat support is not working on your site 
40,2,,Virgin America, View of downtown Los Angeles the Hollywood Sign and beyond that rain in the mountains 
41,0,Flight Booking Problems,Virgin America, Hey first time flyer next week  excited But Im having a hard time getting my flights added to my Elevate account Help
42,1,,Virgin America, plz help me win my bid upgrade for my flight  LAXgtSEA  
43,1,,Virgin America, I have an unused ticket but moved to a new city where you dont fly How can I fly with you before it expires travelhelp
44,1,,Virgin America, are flights leaving Dallas for Seattle on time Feb 
45,2,,Virgin America, Im elevategold for a good reason you rock
46,1,,Virgin America,  DREAM  
47,2,,Virgin America, wow this just blew my mind
48,1,,Virgin America,   After last night tribute SoundOfMusic Oscars  I think  agree
49,1,,Virgin America,   All were entertaining
50,1,,Virgin America, Is flight  on its way Was supposed to take off  minutes ago Website still shows On Time not In Flight Thanks
51,2,,Virgin America,   Julie Andrews all the way though  was very impressive NO to 
52,1,,Virgin America, wish you flew out of Atlanta Soon
53,1,,Virgin America,   Julie Andrews Hands down
54,1,,Virgin America, Will flights be leaving Dallas for LA on February th
55,0,Flight Booking Problems,Virgin America, hi im so excited about your  LGAgtDAL deal but ive been trying  book since last week amp the page never loads thx
56,2,,Virgin America, you know it Need it on my spotify stat guiltypleasures
57,2,,Virgin America,    Im Lady Gaga She is amazing 
58,1,,Virgin America,    Carrie
59,1,,Virgin America, New marketing song  let us know what you think
60,1,,Virgin America,   Julie Andrews first but Lady Gaga wowd me last night Carrie Meh
61,0,Customer Service Issue,Virgin America, I called a  weeks ago about adding  flights from  to my Elevatethey still havent shown uphelp
62,1,,Virgin America,   all are great  but I have to go with CarrieUnderwood 
63,1,,Virgin America,   Sorry Mary Martin had it first
64,2,,Virgin America,    love all three but you really cant beat the classics
65,1,,Virgin America, Flight  DAL to DCA  pm Tried to check in could not Status please
66,0,Customer Service Issue,Virgin America, heyyyy guyyyys been trying to get through for an hour can someone call me please 
67,0,Late Flight,Virgin America, Hi Virgin Im on hold for  minutes  are there any earlier flights from LA to NYC tonight earlier than pm
68,2,,Virgin America, Congrats on winning the  award for Best Deals from an Airline US 
69,0,Lost Luggage,Virgin America, everything was fine until you lost my bag
70,1,,Virgin America, Need to change reservation Have Virgin credit card Do I need to modify on phone to waive change fee Or can I do online
71,1,,Virgin America, I emailed your customer service team Let me know if you need the tracking number
72,1,,Virgin America, hi I just booked a flight but need to add baggage how can I do this
73,0,Flight Attendant Complaints,Virgin America, your airline is awesome but your lax loft needs to step up its game  for dirty tables and floors 
74,2,,Virgin America, not worried its been a great ride in a new plane with great crew All airlines should be like this
75,2,,Virgin America, awesome I flew yall Sat morning Any way we can correct my bill 
76,1,,Virgin America, Or watch some of the best student films in the country at  feet CMFatfeet 
77,1,,Virgin America, first time flying you all do you have a different ratepolicy for media Bags Thanks
78,0,Customer Service Issue,Virgin America, what is going on with customer service Is there anyway to speak to a human asap Thank you
79,1,,Virgin America, what happened to Doom
80,0,Customer Service Issue,Virgin America, why cant you supp the biz traveler like   and have customer service like  neverflyvirginforbusiness
81,2,,Virgin America, Ive applied more then once to be a member of the inflight crew teamIm  interested flightattendant dreampath G
82,0,Late Flight,Virgin America, youre the best Whenever I begrudgingly use any other airline Im delayed and Late Flight 
83,0,Can't Tell,Virgin America, I have no interesting flying with you after this I will Cancelled Flight my next four flights I plannedneverflyvirginforbusiness
84,0,Can't Tell,Virgin America, it was a disappointing experience which will be shared with every business traveler I meet neverflyvirgin
85,0,Flight Booking Problems,Virgin America, Im having trouble adding this flight my wife booked to my Elevate account Help 
86,1,,Virgin America, Cant bring up my reservation online using Flight Booking Problems code
87,1,,Virgin America, Random Q whats the distribution of elevate avatars I bet that kitty has a disproportionate share 
88,1,,Virgin America, I lt Flying VA But Life happens and I am trying to change my trip JPERHI  Can you helpVA home page will not let me 
89,0,Can't Tell,Virgin America, Why is the site down  When will it be back up
90,1,,Virgin America, You down with RNP Yeah you know me
91,1,,Virgin America, hi i did not get points on my elevate account for my most recent flight how do i add the flight and points to my account
92,0,Cancelled Flight,Virgin America, I like the TV and interesting video  Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday 
93,0,Late Flight,Virgin America, just landed in LAX an hour after I should of been here Your no Late Flight bag check is not business travel friendly nomorevirgin
94,1,,Virgin America, why is flight  redirected
95,0,Customer Service Issue,Virgin America, Is it me or is your website down  BTW your new website isnt a great user experience  Time for another redesign
96,0,Customer Service Issue,Virgin America, I cant check in or add a bag Your website isnt working Ive tried both desktop and mobile 
97,0,Can't Tell,Virgin America,  Let  scanned in passengers leave the plane than told someone to remove their bag from st class bin uncomfortable
98,0,Flight Booking Problems,Virgin America, What is your phone number I cant find who to call about a flight reservation
99,0,Customer Service Issue,Virgin America, is anyone doing anything there today  Website is useless and no one is answering the phone
100,1,,Virgin America, trying to add my boy Prince to my ressie SF this Thursday  from LAX 
101,0,Late Flight,Virgin America, why must a traveler miss a flight to Late Flight check a bag  I missed my morning appointments and you lost my business sfolax
102,1,,Virgin America, check out new music 
103,0,Late Flight,Virgin America, hows a direct flight FLLgtSFO have unexpected layover in Vegas  fuel yet peeps next to me bought for Vegas flight sneaky
104,0,Late Flight,Virgin America, your no Late Flight bag check just lost you my business I missed flight and AM apt Three other people on flight had same exp
105,2,,Virgin America,  amazing customer  service again  RaeAnn in SF  shes the best customerservice virginamerica flying
106,0,Customer Service Issue,Virgin America, called your service line and was hung up on This is awesome sarcasm
107,0,Flight Booking Problems,Virgin America, your site is tripping Im trying to check in and Im getting the plain text version I am reluctant to enter any card info
108,1,,Virgin America, I was scheduled for SFO  DAL flight  today Changed to th due weather Looks like flight still on
109,2,,Virgin America, has getaway deals through May from  oneway Lots of cool cities  CheapFlights FareCompare
110,1,,Virgin America, has getaway deals through May from  oneway Lots of cool cities  CheapFlights FareCompare
111,2,,Virgin America, has getaway deals through May from  oneway Lots of cool cities  CheapFlights FareCompare
112,1,,Virgin America, has getaway deals through May from  oneway Lots of cool cities  CheapFlights FareCompare
113,2,,Virgin America, Have a great week 
114,2,,Virgin America, come back to PHL already We need you to take us out of this horrible cold pleasecomeback 
115,0,Late Flight,Virgin America, should I be concerned that I am about to fly on a plane that needs to be delayed due to a tech stop
116,2,,Virgin America, is the best airline I have flown onEasy to change your reservationhelpful representatives amp a comfortable flying experience
117,2,,Virgin America, and again Another rep kicked butt Naelah represents your team so beautifully Thank you
118,2,,Virgin America, your beautiful frontend design is down right now but it was cool to still book my ticket bc all your backend was secure
119,2,,Virgin America, Love the team running Gate E at LAS tonight Waited for a delayed flight and they kept things entertaining
120,0,Customer Service Issue,Virgin America, Use another browser  amp a brand with a reputation built on tech response doesnt have a crossbrowser compatible website
121,0,Flight Booking Problems,Virgin America, And now the flight Flight Booking Problems site is totally down Folks what is the problem
122,0,Customer Service Issue,Virgin America, I like the customer service but a  min delay just for connecting passengers seems too long VA
123,2,,Virgin America, thanks to your outstanding NYCJFK crew who moved mountains to get me home to San Francisco tonight
124,2,,Virgin America, you have the absolute best team and customer service ever  Every time I fly with you Im delighted  Thank you
125,1,,Virgin America, Do you provide complimentary upgrades to first class if there are available seats
126,0,Customer Service Issue,Virgin America, i need to change my flight thats scheduled in  hours and  min wait time on phone Im calling intern Help
127,2,,Virgin America, completely awesome experience last month BOSLAS nonstop Thanks for such an awesome flight and depart time VAbeatsJblue
128,1,,Virgin America, How can I watch the Oscars on my JFKgtSFO flight
129,1,,Virgin America, is flight  Cancelled Flightled and what do I do if it is
130,0,Customer Service Issue,Virgin America, you are failing your customers because your check in process does not link to TSA precheck
131,0,Can't Tell,Virgin America,  us too Terrible airline Just gave us a hotel hotline number and said sorry
132,1,,Virgin America, has flight number  from SFO to Cabo San Lucas arrived yet
133,0,Cancelled Flight,Virgin America,  your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you
134,0,Late Flight,Virgin America, Another delayed flight likingyoulessandless
135,0,Customer Service Issue,Virgin America, I need to register a service dog for a first class ticket from SFO gt Dulles The phone queue is an hour or longer Pls advise
136,2,,Virgin America, you ROCK for making it so I can watch Oscars on my flight redcarpet oscars oscars
137,1,,Virgin America,  dropped a track on you 
138,2,,Virgin America, always Xoxo
139,0,Flight Booking Problems,Virgin America, why cant we book seats on your flights when we buy them or even during check in Creates so much anxiety frustrated
140,0,Flight Attendant Complaints,Virgin America, Youd think paying an extra  bucks RT for luggage might afford you hiring an extra hand at  lame
141,2,,Virgin America, best customer service rep in the world irmafromDallas takes the cake
142,1,,Virgin America, Can you find us a flt out of LAX that is sooner than midnight on Monday That would be great customer service 
143,0,Late Flight,Virgin America, please provide status for flight   I cant imagine its on time as the Web indicates  dude to weather here andor Dallas
144,2,,Virgin America, you have amazing staff amp super helpful as I just ran the  PrincessHalf they have spoiled me with comfort
145,0,Cancelled Flight,Virgin America, I paid the premium to fly you across the country you Cancelled Flight my flight and offer no check fee or upgrade love Sad face 
146,0,Flight Booking Problems,Virgin America, question is it not possible to book a seat for an infant under  Its not giving me the option but we want a seat for him
147,2,,Virgin America,Always have it together Youre welcome RT   Youre so welcome
148,2,,Virgin America, flight home to dc sunset globe in backtowinter back to work refreshed 
149,0,Damaged Luggage,Virgin America, I dont understand why you need a DM to give me an answer on if you have a damaged luggage policy
150,0,Damaged Luggage,Virgin America, does that mean you dont have a policy for destroyed luggage
151,1,,Virgin America, is there special assistance if I travel alone w kids and  infant Priority boarding
152,2,,Virgin America, thank you for checking in tickets are purchased and customer is happy 
153,1,,Virgin America, is your website ever coming back online
154,1,,Virgin America,   Is Flight  from Love Field to SFO definitely Cancelled Flightled for Monday February 
155,1,,Virgin America, Is flight  out of LGA to DFW on time
156,1,,Virgin America, my drivers license is expired by a little over a month Can I fly Friday morning using my expired license
157,0,Customer Service Issue,Virgin America, having problems Flight Booking Problems on the web site keeps giving me an error and to contact by phone  phone is  minute wait
158,0,Cancelled Flight,Virgin America, How do I reschedule my Cancelled Flightled flights online The change button is greyed out
159,0,Flight Booking Problems,Virgin America, I rang but there is a wait for  minutes I can book the same ticket through a vendor fix your site
160,0,Late Flight,Virgin America, got a flight we were told for  todaychecked my email and its for  TOMORROW This is unacceptable
161,0,Cancelled Flight,Virgin America, our flight into lga was Cancelled Flighted Were stuck in Dallas I called to reschedule told I could get a flight for today
162,0,Bad Flight,Virgin America, why dont any of the pairings include red wine Only white is offered  redwineisbetter
163,0,Customer Service Issue,Virgin America, is the website down
164,0,Customer Service Issue,Virgin America,  Your site seems a little wonked right now May want to have a look Tried on two browsers No CSS 
165,0,Customer Service Issue,Virgin America, Im disappointed that the agent at the designated silver status check in line Airport closed to assist all pasengers
166,1,,Virgin America, Plans to Include Austin to its Dallas Route  TopNews Arab Emirates 
167,0,Customer Service Issue,Virgin America, Is it normal to receive no reply from Central Baggage baggageissues smh
168,0,longlines,Virgin America, at Logan airport and waiting to checkin for my am flight Checkin desk not open  Why
169,1,,Virgin America, to jump into the DallasAustin market  News 
170,1,,Virgin America, Beats EPS Views Takes On SouthwestAir VA LUV  Investors Business Daily 
171,1,,Virgin America, Lister to my show my on Monday  
172,1,,Virgin America, to begin DallasAustin flights in April   KETR 
173,0,Can't Tell,Virgin America, congrats you just got all my business from EWR to SFOLAX Fuck you  fl SFOEWR was the clincher
174,0,Customer Service Issue,Virgin America,  I applied over  weeks ago Havent heard back and Im flying this week disappointed
175,1,,Virgin America, Id love to know what your policy is for damaged luggage
176,2,,Virgin America, Thank you for the follow
177,0,Customer Service Issue,Virgin America,  too many apologies You r the worse airlines Dont even respond to your cudtomers
178,0,Cancelled Flight,Virgin America, shame on VA for making people spend money in stranded cities when other airlines are landing at JFK Who will reimburse me
179,1,,Virgin America,  I DM you
180,1,,Virgin America, can you please have flights in  SJC  I have no choice but to fly Southwest to Vegas 
181,0,Customer Service Issue,Virgin America, too bad you say it takes  to  days via YOUR confirmation email When I inquired after  weeks you claim  to  weeks
182,0,Cancelled Flight,Virgin America, Flight from BOS gt LAS tomorrow was Cancelled Flightled No notification wait times are  hour Will you rebook on another airline
183,2,,Virgin America, RT  Youve met your match Got status on another airline Upgrade restr  
184,2,,Virgin America, Only way to fly Elevate Gold
185,1,,Virgin America, If only you guys had flights from CMH
186,0,Can't Tell,Virgin America, a lot of apologies being thrown out to customers from what I can seeVery sad Thanks for nothing Worst airline ever
187,0,Flight Attendant Complaints,Virgin America,  for all my flight stuff wrong and did nothing about it Had worst flight ever
188,1,,Virgin America, Having an issue finding a missing item on a plane Can you help me find which airport my plane headed to next
189,2,,Virgin America, you will match my AmericanAirlines status Cool
190,1,,Virgin America,Youve met your matchGot status on another airline Upgrade   ESar  
191,0,Flight Booking Problems,Virgin America, trying to book a flight with you guys and your website wont let me about to lose my business
192,0,Can't Tell,Virgin America, you suck
193,2,,Virgin America, thanks
194,0,Flight Booking Problems,Virgin America, Just DMd Same issue persisting
195,0,Cancelled Flight,Virgin America, Because we never recd Cancelled Flightlation notice we were left w no options to fly out of PS Driving to LA for a red eye Mon w kids
196,0,Flight Booking Problems,Virgin America, trying to book a flight amp your site is down 
197,0,Cancelled Flight,Virgin America, You have any flights flying into Boston tomorrow I need to be home and you Cancelled Flightled my flight and didnt do anything
198,0,Cancelled Flight,Virgin America, you stink Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook disappointed  expected better
199,2,,Virgin America, I love your guys song Were dancing to it for our high school dance revue
200,0,Customer Service Issue,Virgin America, Your website is down and Im trying to check in
201,2,,Virgin America, done Thank you for the quick response apparently faster than sitting on hold 
202,1,,Virgin America, nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow Just sent you a DM to help me
203,2,,Virgin America, cool picture of another VirginAmerica plane off our wing What a site 
204,2,,Virgin America, Keep up the great work 
205,2,,Virgin America, my goodness your people  field are amazing under pressure from Texas beatstheothers in crisis Please fly me to NY
206,2,,Virgin America, Thanks for a great flight from LA to Boston Pilots did a great job landing in the snow Can we go back to LA now seriously
207,1,,Virgin America, can you please get me to the new york area before monday afternoon
208,2,,Virgin America, Thanks so much for the awesome support you guys rock
209,0,Bad Flight,Virgin America, seats in Row  dont recline should mention that on your website soreback
210,0,Late Flight,Virgin America, flight  delayed  hours in LA due to mechanical problems Handle like pros but you could have tossed us a free drink
211,0,Cancelled Flight,Virgin America, why Cancelled Flight flights today No precipitation to be scared of  
212,2,,Virgin America, twitter team you guys killed it for rescheduling me asap thank you
213,0,Cancelled Flight,Virgin America, You guys charged me  to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it Whats the deal
214,0,Customer Service Issue,Virgin America, cant access your website from Safari on iPhone  Seems to work on Mac and iPad Need iPhone to add Passbook
215,1,,Virgin America, on iPad and iPhone clicking the CHECKIN link in the email I received at hrs before flight
216,0,Customer Service Issue,Virgin America, your mobile site is broken shows headerelevateUsernumOfPointsAvailable    number Points wont let me checkin
217,0,Cancelled Flight,Virgin America, I was really looking forward to my flight can you let me know when it will be rescheduled diehardvirgin
218,0,Cancelled Flight,Virgin America, why Cancelled Flight flight VX One sec its delayed on my to airport the next its Cancelled FlightledGonna email or call me to reschedule
219,0,Customer Service Issue,Virgin America, I did it but there was a problem in the link from the email for checkin thanks
220,0,Flight Booking Problems,Virgin America, had to change to another airline to get to DC today  Why is  able to land in DC but not you Cost me  ugh
221,0,Cancelled Flight,Virgin America, I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one 
222,2,,Virgin America, when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love 
223,2,,Virgin America, wish I can afford to fly with you next Friday  going back home love everything  about your airline
224,0,Can't Tell,Virgin America,  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas sad
225,1,,Virgin America, its just a bug report guys
226,0,Customer Service Issue,Virgin America, hold times at call center are a bit much
227,2,,Virgin America, Like 
228,0,Flight Booking Problems,Virgin America, Site down help
229,2,,Virgin America, You have the best flight attendant ever 
230,2,,Virgin America,Awesome RT  Watch nominated films at  feet MeetTheFleet Oscars 
231,2,,Virgin America, thanks so much
232,0,Customer Service Issue,Virgin America, Trying to reset my password email never arrives Help
233,2,,Virgin America, the only airline based in Silicon Valley disruption FCmostinnovative incubator  s 
234,2,,Virgin America, Very nicely done 
235,2,,Virgin America, Im looking forward to watching the Oscars on my flight home tomorrow I might even get something bubbly to drink 
236,0,Late Flight,Virgin America, What is the reason  for the delay of the departure of VX  from JFK this afternoon
237,0,Cancelled Flight,Virgin America, is todays flight from Palm Springs Ca to JFK in NY Cancelled Flightled
238,2,,Virgin America, hahaha  YOU GUYS ARE AMAZING I LOVE YOU GUYS
239,2,,Virgin America, sounds like fun 
240,1,,Virgin America, any updates on flight  from Jfk gt Lax
241,1,,Virgin America, spruce moose
242,0,Customer Service Issue,Virgin America, the CSS on your site is a  right now please fix Site unusable
243,0,Lost Luggage,Virgin America, Were on flight  Vegas to Boston today checked in online but our bag count didnt register Can I fix that somehow
244,2,,Virgin America, classiq luv Virgin America Greetingz
245,0,Customer Service Issue,Virgin America, Hi Im trying to do checkin but the website is not working I tried  different browsers and the problem continues
246,2,,Virgin America, Thanks for your great customer service today amp for helping me get all my travel sorted out
247,2,,Virgin America, thanks guys Sweet route over the Rockies airplanemodewason
248,2,,Virgin America, love the s music blasting at gate in Boston while waiting for flight to SanFrancisco Only if I could get an iced coffee
249,0,Bad Flight,Virgin America,  the passenger in D Flt  that assaulted me shouldnt have flown I trust hes banned Crew filed report to 
250,0,Flight Booking Problems,Virgin America, current bug on website shows select departure city when selecting destination city 
251,0,Damaged Luggage,Virgin America, luggage was severely dentedmissing wheel coming off baggage claim in SAN Luggage agent Miranda I think wasnt any help
252,2,,Virgin America, thank you for the easy itinerary shift for impending weather Quick painless amp free
253,1,,Virgin America, If youd love to see more girls be inspired to become pilots RT our free WOAW event March  at ABQ 
254,2,,Virgin America, Thanks Good times there and back Vodkatonics the entire flightsfo
255,1,,Virgin America, beats expectations shares take off  Santa Cruz Sentinel 
256,1,,Virgin America, any plans to start flying direct from DAL to LAS
257,1,,Virgin America, BIG Lovegratitudempower w  weRin OSCARS VIPswagbags AvalonHollywood 
258,2,,Virgin America, youre doing a great job adding little luxuriesaesthetics that improve the air travel experience Thank you Keep it up
259,0,Bad Flight,Virgin America, requested window seat and confirmed window but got stuck in middle seat Not a good way to treat silver member
260,1,,Virgin America, Grand Budapest Hotel OscarsCountdown
261,1,,Virgin America, This is what you missed  Next trip to the 
262,0,Bad Flight,Virgin America, wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience
263,0,Customer Service Issue,Virgin America, there is something wrong with you website in Safari iPhone
264,2,,Virgin America, thanks for gate checking my baggage on your full flight dfwlax  and giving me early boarding too sweet
265,0,Can't Tell,Virgin America, Already checked in so the page expired X
266,0,Customer Service Issue,Virgin America, Boo for a not refunding a seat upgrade fee I did not want to buy in the first place
267,1,,Virgin America, shares rise on Q financial results  USA TODAY 
268,1,,Virgin America, Adds Pillows Instead of LieFlat Seats in First Class Arms Race 
269,2,,Virgin America, I see what you did there 
270,1,,Virgin America, way to take advantage of MayweatherPacquiao 
271,1,,Virgin America, you know Im flying virgin for the fight MayweatherPacquiao
272,2,,Virgin America, your inflight team makes the experience amazing
273,2,,Virgin America, cutest salt and pepper shaker ever Just when I think you guys cant get any better you just do 
274,0,Bad Flight,Virgin America, moved my seat with no notice Better seat is cabin select not behind the row I selected DISAPPOINTED
275,1,,Virgin America, shares up on Q results   
276,2,,Virgin America, fav airline
277,2,,Virgin America, we have a hot female pilot Sweet DCA to SFO 
278,1,,Virgin America, When are you guys going to start flying to Paris   Youre welcome
279,1,,Virgin America, what is your policy on flying after surgery  I am still waiting for answer so I can tell me doctor
280,0,Lost Luggage,Virgin America, already contacted Central Baggage amp sent DM  is charging me for the dress that was in the lost suitcase help
281,2,,Virgin America, Thank you
282,0,Customer Service Issue,Virgin America, Is there anything going on with the website Ive been getting a lot of errors past  minutes
283,1,,Virgin America, I think i left something on the plane yesterday who do i callah
284,1,,Virgin America, I need you to follow back in order to DM
285,1,,Virgin America, Need to start flying to    
286,1,,Virgin America, they told to check with the airline regulation first so that is why I contacted you
287,0,Can't Tell,Virgin America,  I have just checked in flight to SFO from LAX amp been told as Atlantic Flying Club Gold I get no benefits
288,0,Flight Attendant Complaints,Virgin America, husband and I ordered three drinks via my screen and they never came Awesome
289,0,Bad Flight,Virgin America, soooo are you guys going to leave the seatbelt light on all flight You can barely call this turbulence 
290,1,,Virgin America, what is your policy on flying after surgery
291,1,,Virgin America, posts second consecutive fullyear net profit   
292,0,Flight Booking Problems,Virgin America, Funny story your website is broken you have missing javascript and stylesheets on the checkin process I dislike this
293,2,,Virgin America, would love to do more for virgin just like I do for 
294,1,,Virgin America, Results Handily Exceed Forecasts   
295,1,,Virgin America, I applied for a position in  and I was wondering if you guys received my application
296,1,,Virgin America, achieves a second year of profitability despite revenue pressure   Aviation 
297,1,,Virgin America, gives positive outlook but sees increased competition   
298,0,Customer Service Issue,Virgin America, Im trying to check into my AM CT flight tmm on the desktop website and its not working some sort of caching bug SOS
299,1,,Virgin America, weather delays gt next few weeks  JFK BOS DCA
300,1,,Virgin America,  check the website before you go to the airport
301,0,Customer Service Issue,Virgin America, Do you guys know your checkin links from emails are broken 
302,1,,Virgin America, pilot says we expect a choppy landing in NYC due to some gusty winds wa temperature of about  degrees amp wthe windchill 
303,2,,Virgin America, loved it Cant wait for Mondays return flight Mostly just to watch the inflight safety video again sorrynotsorry
304,0,Lost Luggage,Virgin America, lost my luggage  days ago on flight VX  from LAX to IAD amp Im calling every day no responsePlease give me back my stuff
305,0,Flight Booking Problems,Virgin America, The Flight Booking Problems section of your website seems to be broken on Chrome Might wanna look into that
306,2,,Virgin America, Hi Just wanted to see if you have any new routes planned this year for Newark Love flying you guys and hope to do so more
307,2,,Virgin America, I mean Probably inappropriate while on board But its on
308,2,,Virgin America, happy to spend the day together Lets do this
309,1,,Virgin America, is saving my sanity right now 
310,1,,Virgin America, missed my flight How does standby work
311,2,,Virgin America, They were very understanding and helped me out  Thx Comps
312,1,,Virgin America, brought it all the way across the country today I see 
313,2,,Virgin America, thank you I absolutely will 
314,0,Can't Tell,Virgin America, Looks like a broken link for your assets 
315,1,,Virgin America, are you ready Lets say it together Noooo turbulence today 
316,0,Flight Booking Problems,Virgin America, the manage itinerary section of your website seems to be broken for me 
317,0,Customer Service Issue,Virgin America, cant check in your site looks like this every time it loads 
318,1,,Virgin America, can u help this  Fund needs urgent treatment iny old battling cancer could u help with flights freyasfund
319,1,,Virgin America, may start service to Hawaii from SanFrancisco this year  biztravel
320,0,Customer Service Issue,Virgin America, Other carriers are less than half price for a round trip fare I am stunned 
321,0,Flight Booking Problems,Virgin America, WTF is happening in PDX Late Flight March such that one way from SFO is 
322,1,,Virgin America, add DTW and Im sold
323,2,,Virgin America, How about some free drinks on the flight back for the free promo
324,2,,Virgin America,  thanks
325,1,,Virgin America, momma I made it 
326,1,,Virgin America, please contact me about portfolio left on flight VX  from JFK to SFO tonite seat AM Need it returned Call 
327,1,,Virgin America, help I was On  Flight   from JKF tonight seat C left portfolio Need it back
328,1,,Virgin America,  Seattle bound Wifey got me the duffle for vday Shes a keeper Holla 
329,0,Lost Luggage,Virgin America, my luggage is gone Ive filed my paperwork promised a callemail Still no resolution or response from central luggage
330,1,,Virgin America, Debbie Baldwin gave a rockstar performance of the safety demo this evening on VX LASSFO BestCrew SheRocks
331,2,,Virgin America, Thanks
332,2,,Virgin America, thanks for taking care of  on her flight rockstars travel
333,2,,Virgin America, Thanks for the lovely soft views travel SAN to SFO 
334,0,Flight Booking Problems,Virgin America, I requested a mileage challenge for status several weeks ago online but havent heard back How do I get help with this
335,0,Flight Booking Problems,Virgin America, Just trying to book tickets to NYC and facing super fun broken styling Dont worry Ill keep trying 
336,1,,Virgin America, Many Thanks for the Followourprincess freyasfund USA Bandie Looking for Any Help 
337,1,,Virgin America, Nice Lofty View  SilverStatus 
338,0,Customer Service Issue,Virgin America, Applied for Status Match on Feb  Got confirmation email same day Still no news though You guys have dropped ball Late Flightly 
339,1,,Virgin America, is my new go to airline
340,1,,Virgin America,    Can You Help ourprincess in need of some help in USA  
341,2,,Virgin America, I adore you and am so looking forward to my flight to Austin in two weeks
342,2,,Virgin America, I was so glad it was mentioned I took my first virgin flight a few years back and it was a transformative experience
343,1,,Virgin America, Flight Booking Problems flight to uphold my status match  Do taxes on ticket count as earned status points  statusmatch virginamerica
344,0,Customer Service Issue,Virgin America, trying to checkinbut looks like your site is down
345,0,Late Flight,Virgin America, spending my birthday night with you DALDCA Get me home
346,0,Customer Service Issue,Virgin America, Sent a couple messages to the email you provided but to no avail Will try again next year Cheers
